SP,ST,ET,LB,LMin,LMax,LMean,LSD,UMin,UMax,UMean,USD
1500,2024-03-15T12:05:15,4.1521333333333335,0.5,1077.7899890950648,1351.964765037743,1285.7968213057102,77.061918547485,1351.9744603010458,1366.6538424309938,1358.549413359064,4.011652918215893
1100,2024-03-15T12:15:15,100.93756666666667,0.5,136.28118883556806,1185.0676922718994,379.19668745148346,279.40116310440584,14.074760503026482,135.57887432636488,52.728927850890834,31.35084165476742
0,2024-03-14T09:30:18,0.04546666666666667,0.5,18.99216274624746,19.519002848468432,19.349280768233836,0.15937736431467506,18.74289006438099,19.680456296626737,19.184434093970548,0.2898503016529994
100,2024-03-14T09:31:08,4.953433333333334,0.5,18.78463091930098,26.076193710718172,22.293852556182024,2.216980618648634,26.08123337733676,26.093370176087262,26.087555743435473,0.004530733794323405
600,2024-03-14T09:36:08,57.93853333333333,0.5,15.919397769583156,462.2388933227211,324.8313176794606,134.21794033953694,462.32891608724924,469.6772216566474,466.95484638906254,2.2138465243557683
650,2024-03-14T11:06:07,19.32133333333333,0.5,469.25595583202085,506.09571623026,495.36223086127194,9.544074874128764,506.1407621944274,509.50982686715304,508.2265116652336,0.7702773880401944
700,2024-03-14T11:51:07,16.0921,0.5,510.2881008130498,546.4730296816307,535.3345250863931,9.99674262785902,546.5180964056794,551.3609224862523,549.603941553282,1.3023885276717808
750,2024-03-14T12:36:08,16.271166666666666,0.5,551.106973101676,591.394367002286,579.2047668328173,10.744708690136896,591.4293514570757,594.0472213513729,592.6709434531268,0.7006372492844809
800,2024-03-14T13:11:08,15.368533333333334,0.5,593.8246306726942,636.4254458669168,624.7556080837306,11.339269790122655,636.4555461137824,640.8337566743187,639.0986491617621,1.3530464608085626
850,2024-03-14T13:41:13,13.163333333333332,0.5,640.9778230764787,684.3242314881686,672.1930610200451,11.76513600638769,684.3541326759447,688.3809917252115,686.5116715501343,1.1758381709718229
900,2024-03-14T14:11:13,14.092166666666666,0.5,688.3483730748412,733.7502700421634,722.545845186913,11.821459826141188,733.7803142513081,737.3630158048323,736.1361781407936,1.021829486862929
950,2024-03-14T14:41:13,11.573566666666666,0.5,735.8927800017991,784.0211100595205,772.1499641554473,12.788665174091497,784.051085287181,788.16014351035,786.572463151289,1.1437348556389555
1000,2024-03-14T15:11:13,10.692866666666667,0.5,786.9829422170878,835.7913202576693,823.9938348844998,12.829549215181551,835.816166270589,839.2025773788793,837.6274809890884,0.9678350838720661
1050,2024-03-14T15:36:13,11.988666666666667,0.5,838.1300410051481,890.5205906154049,878.7410392057726,13.041625007873012,890.5451968360226,892.2094880360817,891.4092026727809,0.410345092086373
1100,2024-03-14T16:00:43,11.174800000000001,0.5,889.1126337976893,942.6104086199068,931.2804190337027,12.662899502146754,942.2845179705678,943.3444477427824,942.9493788988058,0.20257108035515187
1150,2024-03-14T16:21:13,10.622266666666667,0.5,940.7540447426727,994.6769615521868,983.5410105856181,12.815217867842094,994.1952706340571,995.3896802459665,994.95901356524,0.2273000172031294
1200,2024-03-14T16:41:13,9.903466666666667,0.5,994.0947834938997,1045.3156777118843,1035.3870862613117,12.046808135899704,1044.8580033332532,1046.575557101258,1045.5427640119406,0.5042319961985348
1250,2024-03-14T17:01:13,6.728766666666667,0.5,1042.4725780816516,1096.8660747680176,1084.8644764750395,13.388551340935983,1096.8760311438755,1098.1513925491108,1097.463451467107,0.3833769267302992
1300,2024-03-14T17:11:13,6.822666666666667,0.5,1092.928772826679,1149.6416015381235,1138.3189038483592,13.60592624922612,1149.651536673071,1150.0285765710432,1149.9315995708946,0.09479536250917771
1350,2024-03-14T17:21:13,6.4584,0.5,1147.2702901546727,1202.7881015423554,1191.9394393581115,13.05181729385668,1202.7979847307747,1204.196649963063,1203.5287241325057,0.4572795043674345
1400,2024-03-14T17:31:13,5.4055,0.5,1199.7144395697396,1255.9964202217595,1245.9320770199845,13.474098247460823,1256.0058542315426,1257.2837897757338,1256.5959702922478,0.4023573631589212
1450,2024-03-14T17:40:48,5.8613333333333335,0.5,1254.9117604050552,1311.068365173734,1301.6746130610186,12.669198153779586,1310.8658299603749,1312.4797155525653,1311.4180677917852,0.5336168867090276
1500,2024-03-14T17:51:18,5.593,0.5,1308.9969544208725,1363.7116153260692,1355.087494748505,12.3199836654428,1363.7216809793995,1365.428247733515,1364.3010680568386,0.5982793558564663
1100,2024-03-14T18:01:18,207.736,0.5,51.12064955278811,1166.2587994785863,262.3733372933031,267.67183594550414,32.062527219193726,50.94097494793414,39.34035937547622,6.064859862336467
0,2024-03-13T11:03:16,0.08159999999999999,0.5,25.984518416202718,28.437891218051085,27.70722834144021,0.7239931191005295,26.614203481248268,28.548665240692685,27.78492257138524,0.5856281395928318
100,2024-03-13T11:04:09,0.9504,0.5,27.468733523046467,29.026482906954442,28.519553745744876,0.4359771517309738,29.031431038835027,33.113944335070826,30.741768675823362,1.1790417359916998
600,2024-03-13T11:09:10,61.9544,0.5,20.031000201561255,460.5468489692244,329.88433363754524,132.5880087142054,460.6369612598753,466.3816568209504,464.41488177178275,1.564874396686707
650,2024-03-13T12:39:15,20.130133333333333,0.5,466.0808429487224,503.5771548444033,491.97760458034014,10.091084452926308,503.6220347055633,507.3909710459217,506.29343724515206,0.9872529167883911
700,2024-03-13T13:24:15,19.1416,0.5,507.72733184488607,546.7078769324181,535.1930830104449,10.295416865471976,546.7528498494064,549.5898415993552,548.6918919138898,0.6105583032263849
750,2024-03-13T14:09:15,18.9158,0.5,548.8625699778786,590.639175455053,578.8243353302795,10.787142879814361,590.6739056767593,593.3414539800046,592.5347393147198,0.7253618257267892
800,2024-03-13T14:44:15,16.31093333333333,0.5,591.4330855022417,633.9933587727651,621.822750714954,11.430229912827249,634.0233852114444,636.5481201605568,635.5939914530275,0.5949621685933496
850,2024-03-13T15:14:15,15.702533333333333,0.5,635.2267720437376,682.6717604041813,669.6082672178751,12.37007602791389,682.7018368086959,686.1754930726571,684.5977531793176,1.026646552261341
900,2024-03-13T15:44:15,13.836900000000002,0.5,683.8290526443161,730.4894354270383,718.2145512681083,12.355076992867435,730.5193121465126,733.1077304583928,732.185500578589,0.6722235936348763
